Blood Money: Why the Powerful Turn a Blind Eye While China Kills Americans
                                                                  Title                                         Author       Pub-Date   Price
Hardcover Nonfiction                                                                                                                         
0                         On Call: A Doctor's Journey in Public Service                          by Anthony Fauci M.D.   (06/18/2024)  $36.00
1                     The Anxious Generation: How the Great Rewiring...                              by Jonathan Haidt   (03/26/2024)  $27.00
2                     The Demon of Unrest: A Saga of Hubris, Heartbr...                                 by Erik Larson   (04/30/2024)  $31.50
3                      The Singularity Is Nearer: When We Merge with AI                                by Ray Kurzweil   (06/25/2024)  $31.50
4                                What This Comedian Said Will Shock You                                  by Bill Maher   (05/21/2024)  $30.00
5                     An Unfinished Love Story: A Personal History o...                        by Doris Kearns Goodwin   (04/16/2024)  $31.50
6                     Love & Whiskey: The Remarkable True Story of J...                                 by Fawn Weaver   (06/18/2024)  $25.20
7                     The War on Warriors: Behind the Betrayal of th...                                by Pete Hegseth   (06/04/2024)  $30.00
8                     The Wager: A Tale of Shipwreck, Mutiny and Mur...                                 by David Grann   (04/18/2023)  $27.00
9                             Outlive: The Science and Art of Longevity       by Peter Attia MD, Bill Gifford (Editor)   (03/28/2023)  $28.80
10                    The Situation Room: The Inside Story of Presid...   by George Stephanopoulos, Lisa Dickey (With)   (05/14/2024)  $31.50
11                    Apprentice in Wonderland: How Donald Trump and...                              by Ramin Setoodeh   (06/18/2024)  $32.00
12                           The Friday Afternoon Club: A Family Memoir                               by Griffin Dunne   (06/11/2024)  $30.00
13                    When the Night Comes Falling: A Requiem for th...                                 by Howard Blum   (06/25/2024)  $30.00
14                    A Walk in the Park: The True Story of a Specta...                               by Kevin Fedarko   (05/28/2024)  $29.25
15                    Friends, Lovers, and the Big Terrible Thing: A...                               by Matthew Perry   (06/25/2024)  $17.09
16                    The Body Keeps the Score: Brain, Mind, and Bod...                    by Bessel van der Kolk M.D.   (09/08/2015)  $16.99
17                                         Everything I Know about Love                              by Dolly Alderton   (02/09/2021)  $16.99
18                    Killers of the Flower Moon: The Osage Murders ...                                 by David Grann   (04/03/2018)  $14.49
19                    Braiding Sweetgrass: Indigenous Wisdom, Scient...                         by Robin Wall Kimmerer   (08/11/2015)  $15.99
20                    Chaos: Charles Manson, the CIA, and the Secret...         by Tom O'Neill, Dan Piepenbring (With)   (06/23/2020)  $22.99
21                    The Boys in the Boat: Nine Americans and Their...                          by Daniel James Brown   (05/27/2014)  $16.99
22                    The Art Thief: A True Story of Love, Crime, an...                              by Michael Finkel   (06/25/2024)  $18.00
23                    Think Again: The Power of Knowing What You Don...                                  by Adam Grant   (12/26/2023)  $20.00
24                    Born a Crime: Stories from a South African Chi...                                 by Trevor Noah   (02/12/2019)  $15.99
25                                       Outliers: The Story of Success                           by Malcolm  Gladwell   (06/07/2011)  $17.99
26                                                     The Glass Castle                             by Jeannette Walls   (01/17/2006)  $16.98
27                                                   Educated: A Memoir                               by Tara Westover   (02/08/2022)  $17.09
28                    The Hundred Years' War on Palestine: A History...                              by Rashid Khalidi   (01/26/2021)  $19.99
29                    The Devil in the White City: Murder, Magic, an...                                 by Erik Larson   (02/10/2004)  $16.99
30                                                   The Women: A Novel                              by Kristin Hannah   (02/06/2024)  $21.00
31                                                            Swan Song                            by Elin Hilderbrand   (06/11/2024)  $21.00
32                                           All the Colors of the Dark                              by Chris Whitaker   (06/25/2024)  $30.00
33                                                             Eruption           by Michael Crichton, James Patterson   (06/03/2024)  $22.40
34                                                Resurrection: A Novel                              by Danielle Steel   (06/25/2024)  $20.30
35                                               Camino Ghosts: A Novel                                by John Grisham   (05/28/2024)  $20.96
36                                          You Like It Darker: Stories                                by Stephen King   (05/21/2024)  $21.00
37                                                          Funny Story                                 by Emily Henry   (04/23/2024)  $24.65
38                                          The Midnight Feast: A Novel                                  by Lucy Foley   (06/18/2024)  $30.00
39                                                          Fourth Wing                              by Rebecca Yarros   (05/02/2023)  $29.99
40                                                           Iron Flame                              by Rebecca Yarros   (11/07/2023)  $29.99
41                                         Middle of the Night: A Novel                                 by Riley Sager   (06/18/2024)  $30.00
42                           Red Sky Mourning (Terminal List Series #7)                                   by Jack Carr   (06/18/2024)  $20.99
43                                                    Sandwich: A Novel                            by Catherine Newman   (06/18/2024)  $26.99
44                                                       James: A Novel                            by Percival Everett   (03/19/2024)  $25.20
45                    Democracy or Else: How to Save America in 10 E...       by Jon Favreau, Jon Lovett, Tommy Vietor   (06/25/2024)  $25.20
46                    Atomic Habits: An Easy & Proven Way to Build G...                                 by James Clear   (10/16/2018)  $22.99
47                                    World Travel: An Irreverent Guide           by Anthony Bourdain, Laurie Woolever   (05/28/2024)  $22.00
48                    The New Menopause: Navigating Your Path Throug...                        by Mary Claire Haver MD   (04/30/2024)  $25.20
49                    Good Energy: The Surprising Connection Between...       by Casey Means MD, Calley Means (Editor)   (05/14/2024)  $28.80
